package,description
ARTool,Aligned Rank Transform
ARTP2,Pathway and Gene-Level Association Test
arules,Mining Association Rules and Frequent Itemsets
arulesCBA,Classification Based on Association Rules
arulesNBMiner,Mining NB-Frequent Itemsets and NB-Precise Rules
arulesSequences,Mining Frequent Sequences
arulesViz,Visualizing Association Rules and Frequent Itemsets
aRxiv,Interface to the arXiv API
asaur,"Data Sets for ""Applied Survival Analysis Using R"""""
asbio,A Collection of Statistical Tools for Biologists
ascii,Export R Objects to Several Markup Languages
asciicast,Create 'Ascii' Screen Casts from R Scripts
asciichartr,Lightweight ASCII Line Graphs
asciiruler,Render an ASCII Ruler
asciiSetupReader,Reads Fixed-Width ASCII Data Files (.txt or .dat) that Have Accompanying Setup Files (.sps or .sas)
asd,Simulations for Adaptive Seamless Designs
asdreader,Reading ASD Binary Files in R
ASGS.foyer,Interface to the Australian Statistical Geography Standard
ash,David Scott's ASH Routines
ashr,"Methods for Adaptive Shrinkage, using Empirical Bayes"
asht,Applied Statistical Hypothesis Tests
AsioHeaders,'Asio' C++ Header Files
ASIP,Automated Satellite Image Processing
askpass,"Safe Password Entry for R, Git, and SSH"
aslib,Interface to the Algorithm Selection Benchmark Library
ASMap,Linkage Map Construction using the MSTmap Algorithm
asnipe,Animal Social Network Inference and Permutations for Ecologists
aspace,A collection of functions for estimating centrographic statistics and computational geometries for spatial point patterns
ASPBay,Bayesian Inference on Causal Genetic Variants using Affected Sib-Pairs Data
aSPC,An Adaptive Sum of Powered Correlation Test (aSPC) for Global Association Between Two Random Vectors
aspect,A General Framework for Multivariate Analysis with Optimal Scaling
aspi,Analysis of Symmetry of Parasitic Infections
aSPU,Adaptive Sum of Powered Score Test
asremlPlus,Augments 'ASReml-R' in Fitting Mixed Models and Packages Generally in Exploring Prediction Differences
ASSA,Applied Singular Spectrum Analysis (ASSA)
assert,Validate Function Arguments
assertable,Verbose Assertions for Tabular Data (Data.frames and Data.tables)
assertive,Readable Check Functions to Ensure Code Integrity
assertive.base,A Lightweight Core of the 'assertive' Package
assertive.code,Assertions to Check Properties of Code
assertive.data,Assertions to Check Properties of Data
assertive.data.uk,Assertions to Check Properties of Strings
assertive.data.us,Assertions to Check Properties of Strings
assertive.datetimes,Assertions to Check Properties of Dates and Times
assertive.files,Assertions to Check Properties of Files
assertive.matrices,Assertions to Check Properties of Matrices
assertive.models,Assertions to Check Properties of Models
assertive.numbers,Assertions to Check Properties of Numbers
assertive.properties,Assertions to Check Properties of Variables
assertive.reflection,Assertions for Checking the State of R
assertive.sets,Assertions to Check Properties of Sets
assertive.strings,Assertions to Check Properties of Strings
assertive.types,Assertions to Check Types of Variables
assertr,Assertive Programming for R Analysis Pipelines
assertthat,Easy Pre and Post Assertions
AssetCorr,Estimating Asset Correlations from Default Data
AssetPricing,Optimal Pricing of Assets with Fixed Expiry Date
assignPOP,"Population Assignment using Genetic, Non-Genetic or Integrated Data in a Machine Learning Framework"
assignR,Infer Geographic Origin from Isotopic Data
assist,A Suite of R Functions Implementing Spline Smoothing Techniques
ASSISTant,Adaptive Subgroup Selection in Group Sequential Trials
AssocAFC,Allele Frequency Comparison
assocInd,Implements New and Existing Association Indices for Constructing Animal Social Networks
ASSOCShiny,Interactive Document for Working with Association Rule Mining Analysis
AssocTests,Genetic Association Studies
assortnet,Calculate the Assortativity Coefficient of Weighted and Binary Networks
AssotesteR,Statistical Tests for Genetic Association Studies
AST,Age-Spatial-Temporal Model
aster,Aster Models
aster2,Aster Models
asteRisk,Computation of Satellite Position
astrochron,A Computational Tool for Astrochronology
astrodatR,Astronomical Data
astroFns,"Astronomy: time and position functions, misc. utilities"
astrolibR,Astronomy Users Library
astsa,Applied Statistical Time Series Analysis
asus,Adaptive SURE Thresholding Using Side Information
asVPC,Average Shifted Visual Predictive Checks
AsyK,Kernel Density Estimation and Selection of Optimum Bandwidth
asymLD,Asymmetric Linkage Disequilibrium (ALD) for Polymorphic Genetic Data
asymmetry,Multidimensional Scaling of Asymmetric Data
asymmetry.measures,Asymmetry Measures for Probability Density Functions
asympTest,A Simple R Package for Classical Parametric Statistical Tests and Confidence Intervals in Large Samples
asymptor,Estimate Asymptomatic Cases via Capture/Recapture Methods
AsynchLong,Regression Analysis of Sparse Asynchronous Longitudinal Data
asypow,Calculate Power Utilizing Asymptotic Likelihood Ratio Methods
ata,Automated Test Assembly
atable,Create Tables for Reporting Clinical Trials
ATAforecasting,Automatic Time Series Analysis and Forecasting Using the Ata Method
atakrig,Area-to-Area Kriging
ATE,Inference for Average Treatment Effects using Covariate Balancing
atlas,Stanford 'ATLAS' Search Engine API
atmcmc,Automatically Tuned Markov Chain Monte Carlo
ATmet,Advanced Tools for Metrology
atmopt,Analysis-of-Marginal-Tail-Means
AtmRay,Acoustic Traveltime Calculations for 1-D Atmospheric Models
ATR,Alternative Tree Representation
aTSA,Alternative Time Series Analysis
atsd,Support Querying Axibase Time-Series Database
attachment,Deal with Dependencies
attempt,Tools for Defensive Programming
attenuation,Correcting for Attenuation Due to Measurement Error
attrib,Attributable Burden of Disease
AUC,Threshold independent performance measures for probabilistic classifiers
aucm,AUC Maximization
AUCRF,Variable Selection with Random Forest and the Area Under the Curve
auctestr,Statistical Testing for AUC Data
auctionr,Estimate First-Price Auction Model
audio,Audio Interface for R
audiolyzR,audiolyzR: Give your data a listen
audiometry,Standard Conform Pure Tone Audiometry (PTA) Plots
audit,Bounds for Accounting Populations
auditor,"Model Audit - Verification, Validation, and Error Analysis"
augmentedRCBD,Analysis of Augmented Randomised Complete Block Designs
AugmenterR,Data Augmentation for Machine Learning on Tabular Data
augSIMEX,Analysis of Data with Mixed Measurement Error and Misclassification in Covariates
auk,eBird Data Extraction and Processing in R
aurelius,Generates PFA Documents from R Code and Optionally Runs Them
AurieLSHGaussian,Creates a Neighbourhood Using Locality Sensitive Hashing for Gaussian Projections
auRoc,Various Methods to Estimate the AUC
AUtests,Approximate Unconditional and Permutation Tests
auth0,Secure Authentication in Shiny with Auth0
auto.pca,Automatic Variable Reduction Using Principal Component Analysis
autoBagging,Learning to Rank Bagging Workflows with Metalearning
autocogs,Automatic Cognostic Summaries
autoCovariateSelection,Automated Covariate Selection Using HDPS Algorithm
AutoDeskR,An Interface to the 'AutoDesk' 'API' Platform
autoencoder,Sparse Autoencoder for Automatic Learning of Representative Features from Unlabeled Data
autoFRK,Automatic Fixed Rank Kriging
autoimage,Multiple Heat Maps for Projected Coordinates
autokeras,R Interface to 'AutoKeras'
automagic,Automagically Document and Install Packages Necessary to Run R Code
automap,Automatic interpolation package
automl,Deep Learning with Metaheuristic
autoMrP,Improving MrP with Ensemble Learning
automultinomial,Models for Spatially Correlated Data
AutoPipe,Automated Transcriptome Classifier Pipeline: Comprehensive Transcriptome Analysis
autoplotly,Automatic Generation of Interactive Visualizations for Statistical Results
Autoplotprotein,Development of Visualization Tools for Protein Sequence
AutoregressionMDE,Minimum Distance Estimation in Autoregressive Model
AutoSEARCH,General-to-Specific (GETS) Modelling
Autoseed,Retrieve Disease-Related Genes from Public Sources
autoshiny,Automatic Transformation of an 'R' Function into a 'shiny' App
AutoStepwiseGLM,Builds Stepwise GLMs via Train and Test Approach
autostsm,Automatic Structural Time Series Models
autota,Auto TA
autothresholdr,An R Port of the 'ImageJ' Plugin 'Auto Threshold'
autoTS,Automatic Model Selection and Prediction for Univariate Time Series
av,Working with Audio and Video in R
available,"Check if the Title of a Package is Available, Appropriate and Interesting"
avar,Allan Variance
averisk,Calculation of Average Population Attributable Fractions and Confidence Intervals
aVirtualTwins,Adaptation of Virtual Twins Method from Jared Foster
avocado,Weekly Hass Avocado Sales Summary
AWAPer,Catchment Area Weighted Climate Data Anywhere in Australia
aweek,Convert Dates to Arbitrary Week Definitions
aweSOM,Interactive Self-Organizing Maps
AWR,'AWS' Java 'SDK' for R
AWR.Athena,'AWS' Athena 'DBI' Wrapper
AWR.Kinesis,Amazon 'Kinesis' Consumer Application for Stream Processing
AWR.KMS,A Simple Client to the 'AWS' Key Management Service
aws,Adaptive Weights Smoothing
aws.alexa,Client for the Amazon Alexa Web Information Services API
aws.comprehend,Client for 'AWS Comprehend'
aws.ec2metadata,Get EC2 Instance Metadata
aws.ecx,Communicating with AWS EC2 and ECS using AWS REST APIs
aws.iam,AWS IAM Client Package
aws.kms,'AWS Key Management Service' Client Package
aws.lambda,AWS Lambda Client Package
aws.polly,Client for AWS Polly
aws.s3,'AWS S3' Client Package
aws.signature,Amazon Web Services Request Signatures
aws.transcribe,Client for 'AWS Transcribe'
aws.translate,Client for 'AWS Translate'
awsMethods,"Class and Methods Definitions for Packages 'aws', 'adimpro', 'fmri', 'dwi'"
aziztest,Novel Statistical Test for Aberration Enrichment
AzureAuth,Authentication Services for Azure Active Directory
AzureCognitive,Interface to Azure Cognitive Services
AzureContainers,"Interface to 'Container Instances', 'Docker Registry' and 'Kubernetes' in 'Azure'"
AzureCosmosR,Interface to the 'Azure Cosmos DB' 'NoSQL' Database Service
AzureGraph,Simple Interface to 'Microsoft Graph'
AzureKeyVault,Key and Secret Management in 'Azure'
AzureKusto,Interface to 'Kusto'/'Azure Data Explorer'
azuremlsdk,Interface to the 'Azure Machine Learning' 'SDK'
AzureQstor,Interface to 'Azure Queue Storage'
AzureRMR,Interface to 'Azure Resource Manager'
AzureStor,Storage Management in 'Azure'
AzureTableStor,Interface to the Table Storage Service in 'Azure'
AzureVision,Interface to Azure Computer Vision Services
AzureVM,Virtual Machines in 'Azure'
AzureVMmetadata,Interface to Azure Virtual Machine Instance Metadata
,
b6e6rl,"Adaptive differential evolution, b6e6rl variant"
babar,Bayesian Bacterial Growth Curve Analysis in R
babel,Ribosome Profiling Data Analysis
babelwhale,Talking to 'Docker' and 'Singularity' Containers
babette,Control 'BEAST2'
BaBooN,Bayesian Bootstrap Predictive Mean Matching - Multiple and Single Imputation for Discrete Data
babsim.hospital,Bartz & Bartz Simulation Hospital
babynames,US Baby Names 1880-2017
BacArena,Modeling Framework for Cellular Communities in their Environments
BACCO,Bayesian Analysis of Computer Code Output (BACCO)
BACCT,Bayesian Augmented Control for Clinical Trials
bacistool,Bayesian Classification and Information Sharing (BaCIS) Tool for the Design of Multi-Group Phase II Clinical Trials
backbone,Extracts the Backbone from Weighted Graphs
backpipe,Backward Pipe (Right-to-Left) Operator
backports,Reimplementations of Functions Introduced Since R-3.0.0
backShift,Learning Causal Cyclic Graphs from Unknown Shift Interventions
backtest,Exploring Portfolio-Based Conjectures About Financial Instruments
bacondecomp,Goodman-Bacon Decomposition
BACprior,Choice of the Hyperparameter Omega in the Bayesian Adjustment for Confounding (BAC) Algorithm
bacr,Bayesian Adjustment for Confounding
badgecreatr,"Create Badges for 'Travis', 'Repostatus' 'Codecov.io' Etc in Github Readme"
badger,Badge for R Package
BAEssd,Bayesian Average Error approach to Sample Size Determination
baggedcv,Bagged Cross-Validation for Kernel Density Bandwidth Selection
baggr,Bayesian Aggregate Treatment Effects
BAGofT,A Binary Regression Adaptive Goodness-of-Fit Test (BAGofT)
baguette,Efficient Model Functions for Bagging
bahc,Filter Covariance and Correlation Matrices with Bootstrapped-Averaged Hierarchical Ansatz
bain,Bayes Factors for Informative Hypotheses
baitmet,Library Driven Compound Profiling in Gas Chromatography - Mass Spectrometry Data
balance,Visualize Balances of Compositional Data
BalanceCheck,Balance Check for Multiple Covariates in Matched Observational Studies
BalancedSampling,Balanced and Spatially Balanced Sampling
BALCONY,Better ALignment CONsensus analYsis
BALD,Robust Loss Development Using MCMC
Ball,Statistical Inference and Sure Independence Screening via Ball Statistics
BALLI,Expression RNA-Seq Data Analysis Based on Linear Mixed Model
BallMapper,The Ball Mapper Algorithm
BaM,"Functions and Datasets for ""Bayesian Methods: A Social and Behavioral Sciences Approach"""
bama,High Dimensional Bayesian Mediation Analysis
BAMBI,Bivariate Angular Mixture Models
bamboo,Protein Secondary Structure Prediction Using the Bamboo Method
bamdit,Bayesian Meta-Analysis of Diagnostic Test Data
bamlss,"Bayesian Additive Models for Location, Scale, and Shape (and Beyond)"
